,municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Prainha,74,59,50,34,66,49,48,77,45,35,31,72
,Primavera,1,0,0,0,0,3,3,2,0,1,1,1
,Quatipuru,0,0,0,0,0,1,0,0,0,0,0,0
,Redenção,11,5,10,3,10,9,9,4,9,2,23,7
,Rio Maria,14,4,3,3,3,4,4,8,10,3,3,2
,Rondon do Pará,125,55,32,51,61,102,63,87,50,19,46,31
,Rurópolis,44,32,33,23,44,37,36,41,37,22,57,47
,Salinópolis,3,4,3,0,0,1,1,5,0,4,5,1
,Salvaterra,3,1,0,0,0,0,0,3,0,0,1,3
,Santa Bárbara do Pará,1,0,0,0,1,0,0,0,0,0,0,0
,Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
,Santa Isabel do Pará,0,2,2,0,0,0,0,1,1,1,0,0
,Santa Luzia do Pará,6,8,3,3,9,9,9,4,4,2,9,17
,Santa Maria das Barreiras,22,6,15,5,5,9,14,6,10,2,8,3
,Santa Maria do Pará,1,6,1,7,3,1,0,2,0,0,2,0
,Santana do Araguaia,51,33,46,37,21,14,16,15,13,4,9,11
,Santarém,117,133,123,73,103,109,53,103,50,28,42,55
,Santarém Novo,2,0,0,2,1,2,0,0,0,0,0,3
,Santo Antônio do Tauá,1,0,1,0,2,2,7,3,1,0,0,0
,São Caetano de Odivelas,0,0,4,0,0,0,3,0,2,0,1,0
,São Domingos do Araguaia,8,22,16,30,29,4,6,14,3,0,10,2
,São Domingos do Capim,2,0,4,9,10,12,6,7,4,0,7,8
,São Félix do Xingu,56,50,35,21,53,30,41,70,78,40,50,88
,São Francisco do Pará,2,2,2,4,9,2,3,0,0,3,7,7
,São Geraldo do Araguaia,14,8,13,7,15,6,10,22,38,6,3,5
,São João da Ponta,0,1,1,1,1,1,1,1,0,0,0,2
,São João de Pirabas,0,2,1,0,1,0,6,2,0,0,3,0
,São João do Araguaia,5,1,4,9,10,11,11,13,13,8,11,0
,São Miguel do Guamá,1,3,3,3,3,4,1,2,1,0,0,2
,São Sebastião da Boa Vista,4,0,1,2,2,1,0,3,1,0,0,0
,Sapucaia,0,0,2,0,0,0,0,1,0,0,0,1
,Senador José Porfírio,33,23,11,15,22,15,11,21,25,19,64,31
,Soure,0,0,1,0,0,0,0,0,0,0,0,0
,Tailândia,151,99,135,49,116,167,79,172,95,26,63,56
,Terra Alta,0,2,1,0,1,0,2,1,1,4,0,3
,Terra Santa,15,5,5,1,2,6,0,18,2,1,2,4
,Tomé-Açu,153,128,139,53,148,199,44,144,81,38,47,61
,Tracuateua,2,1,1,3,2,2,3,7,1,2,10,32
,Trairão,51,37,11,31,28,22,25,21,23,10,31,29
,Tucumã,8,18,12,24,19,13,16,35,16,26,28,22
,Tucuruí,24,20,32,27,16,20,16,24,20,19,12,16
,Ulianópolis,93,44,66,85,65,62,61,118,29,15,25,73
,Uruará,134,171,120,143,163,147,114,150,188,45,109,120
,Vigia,0,0,3,1,0,0,4,0,0,2,1,2
,Viseu,13,18,24,11,41,45,30,29,5,9,24,91
,Vitória do Xingu,7,4,5,8,24,22,23,27,21,10,19,22
,Xinguara,18,12,15,15,12,8,10,10,16,12,15,8
