municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Óbidos,0,"1,02",0,"5,88",0,"1,85","4,35","1,27","3,03",4,"1,05","2,27"
Oeiras do Pará,"11,11","10,71","9,52",0,"16,67",0,0,"2,5",0,0,0,0
Oriximiná,"0,67",0,"1,37","3,13",0,"0,72",0,"0,7",0,"2,04",0,0
Ourém,0,"16,67",0,0,0,0,0,0,0,0,0,0
Ourilândia do Norte,0,0,"4,17",0,"6,67",0,0,0,0,"3,33","2,38",0
Pacajá,"2,53","1,48",0,"2,38","1,33","1,35","1,96","3,85","1,9","2,22","1,96",0
Palestina do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Paragominas,"1,53","0,56",1,"1,63",0,0,"0,83","3,36","4,88",0,"3,08",0
Parauapebas,0,"3,39","3,08","3,23","3,13","1,33","1,01",0,"1,82","3,51",0,"1,87"
Pau d'Arco,0,0,0,0,0,0,25,0,0,0,25,40
Peixe-Boi,0,0,0,0,0,0,0,0,0,0,0,0
Piçarra,0,0,0,0,0,0,0,0,0,0,0,0
Placas,0,0,"3,7",0,"2,78","4,35","3,03","5,17","4,35",0,"12,5","3,85"
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"4,05","1,1","2,83","3,85","3,78","3,68","1,89","2,5","0,84",0,"0,52",0
Porto de Moz,"5,26",4,"15,38",0,"6,67",0,0,"15,38","6,25",0,0,0
Prainha,0,0,0,"3,23","2,38","3,7",0,0,0,0,0,"7,02"
Primavera,0,0,0,0,0,0,0,0,0,0,0,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,0,"29,41","5,56",10,20,"21,43","13,64",0,0,0,"7,5",0
Rio Maria,0,20,"5,56",0,0,"11,11","33,33",0,0,20,"42,86",0
Rondon do Pará,0,0,"2,78","1,89","3,33","2,13","8,77",0,0,0,"4,44","9,38"
Rurópolis,"4,26","6,25","3,13",0,"2,17","2,56","2,5","2,27",0,0,0,"6,52"
Salinópolis,25,0,0,0,0,0,0,0,0,0,0,25
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,0,0,0,0,0,0,0,0,0,100,0
Santa Luzia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria das Barreiras,5,0,"17,65",0,40,"11,11","16,67",0,0,0,0,0
Santa Maria do Pará,0,0,0,0,0,0,0,"11,11",0,0,0,0
Santana do Araguaia,"3,64",0,0,"7,89","19,05","11,76","5,88",0,"9,09",0,10,20
Santarém,"0,6","1,09","1,33","2,11","0,63","1,78","0,98","1,19","1,09",0,"1,12","2,91"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,50,0,0,0,0,"12,5",0,0,0,0,0
São Caetano de Odivelas,0,0,"16,67",0,0,0,0,0,0,0,0,0
São Domingos do Araguaia,0,0,0,0,"6,9",0,0,"4,17","6,38",0,0,0
São Domingos do Capim,0,0,0,10,0,0,0,0,0,0,0,0
São Félix do Xingu,"4,08","4,44",0,0,"7,84","5,56","2,44","4,69","2,47","2,94","2,13","4,71"
São Francisco do Pará,0,0,0,0,0,0,0,0,0,0,0,20
São Geraldo do Araguaia,0,"7,14","7,69","12,5","6,25",0,0,"4,35","4,76","14,29",0,0
São João da Ponta,0,0,0,0,100,100,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,0,0,0,0,0,0,0,0
São João do Araguaia,0,25,0,0,0,0,0,0,0,0,0,0
São Miguel do Guamá,0,0,0,0,0,0,0,0,0,0,0,100
São Sebastião da Boa Vista,0,0,"33,33",0,0,0,0,0,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,50,0,0,0,0
Senador José Porfírio,"5,71",0,20,0,0,0,0,0,0,"7,14","1,72",0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,"2,27","2,82","2,88",4,"4,27","2,37","2,56","0,56","2,11",0,"2,53","1,69"
Terra Alta,0,50,0,0,0,0,0,0,0,0,50,0
Terra Santa,0,0,20,0,0,0,0,"11,11",0,0,0,0
Tomé-Açu,0,"0,76","0,72",0,"0,63","1,9","4,65",0,"1,25","2,7","2,22","1,85"
Tracuateua,0,0,0,0,0,0,0,0,0,0,0,0
Trairão,"3,77","10,26","6,25","3,13","3,33","7,14",8,"3,57","7,14","14,29","8,11","3,13"
Tucumã,"5,26","2,86",0,0,0,"5,56",28,"4,26","16,67",0,"3,23",0
Tucuruí,0,"1,47","7,27","3,23",0,"1,56",0,"2,6","1,61",0,0,"4,17"
Ulianópolis,"1,98",0,"2,82",0,"1,45",0,"1,56",0,"2,56",0,"3,23","1,15"
Uruará,0,0,0,"13,38","7,83","0,66","0,81","0,62","0,47",0,"0,94",0
Vigia,0,0,0,0,0,0,0,0,0,0,50,0
Viseu,"11,11",0,0,20,"2,56",0,0,0,0,0,0,"1,1"
Vitória do Xingu,0,0,0,0,0,"4,76","4,76",0,0,"7,69","8,7",0
Xinguara,"19,05","7,69",0,"6,67",0,"16,67","9,09","22,22",0,0,"21,43",0
,,,,,,,,,,,,0
,,,,,,,,,,,,"2,23"
