municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Novo Progresso,0,"8,96","5,88","7,27","16,18","9,09","4,55","3,33","5,26","3,33","7,32","22,58"
Novo Repartimento,"1,56",0,"0,99",0,"1,11","1,84","6,06","1,96","3,16",0,0,0
Óbidos,"1,45","4,08",0,0,0,0,0,"1,27","3,03",4,"1,05","2,27"
Oeiras do Pará,"11,11","3,57","4,76",0,0,0,0,0,"5,26",0,"12,5",0
Oriximiná,"0,67",0,"9,59","12,5","2,53","0,72",0,"0,7",0,"2,04",0,0
Ourém,0,"16,67",0,0,0,0,"33,33",0,0,0,0,0
Ourilândia do Norte,"9,09",0,25,"16,67","6,67",0,"6,25",0,"10,53",0,"4,76","5,26"
Pacajá,0,"5,19","1,14","7,14","1,33","1,35","1,96","1,28","3,81","4,44","3,92","4,76"
Palestina do Pará,0,0,0,0,50,0,0,0,0,0,0,0
Paragominas,"0,51","12,99",9,"9,76","10,94","13,71","4,96","6,72","6,1","6,45","3,08","1,16"
Parauapebas,"1,32",0,0,"8,06","2,34","6,67","1,01",0,"2,42","5,26","2,63","1,87"
Pau d'Arco,0,0,0,0,0,0,0,0,0,0,0,0
Peixe-Boi,0,0,0,0,0,0,0,0,0,0,0,0
Piçarra,10,0,0,0,0,0,0,0,0,0,0,0
Placas,"4,65","15,38","3,7","8,82","2,78","8,7","12,12","8,62","4,35","9,09","3,13",0
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"6,76","1,1","3,77",0,"4,32","9,56","15,09","1,25","0,84",0,0,0
Porto de Moz,0,0,0,0,"13,33",0,"14,29","7,69","6,25",0,0,0
Prainha,"1,72",0,0,"12,9","4,76","3,7",10,"2,27","9,38","11,11",20,"1,75"
Primavera,0,0,0,0,0,0,0,0,0,0,0,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,0,"11,76",0,0,"13,33","7,14","9,09",0,0,"9,09",5,"19,05"
Rio Maria,"5,56",0,0,0,0,0,0,0,0,0,0,0
Rondon do Pará,5,"4,92","13,89","5,66",5,"1,06","3,51",0,0,0,0,0
Rurópolis,"2,13","3,13",0,0,"6,52",0,"7,5","4,55","2,63",0,"4,76","4,35"
Salinópolis,0,0,0,0,0,0,0,0,0,0,0,0
Salvaterra,0,0,0,0,0,0,0,0,0,0,"33,33",0
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,0,0,0,0,0,0,0,25,0,100,0
Santa Luzia do Pará,0,10,0,0,0,0,0,0,"12,5",0,0,0
Santa Maria das Barreiras,0,0,"11,76",0,0,"11,11",0,0,10,0,0,0
Santa Maria do Pará,0,25,20,"7,14","41,18",25,0,"22,22",20,0,25,0
Santana do Araguaia,"1,82","5,88",0,"5,26","4,76","11,76","5,88",0,0,20,10,0
Santarém,0,"4,35","0,67","3,16","2,52","13,61","4,9","10,12","11,96","11,11","1,12","1,94"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,"12,5",0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,0,0,0,0,0,0
São Domingos do Araguaia,"5,26",0,0,0,0,0,0,"4,17","4,26",0,0,0
São Domingos do Capim,0,0,0,0,0,0,0,0,0,0,0,0
São Félix do Xingu,"12,24","11,11","5,13","5,26","3,92","2,78","7,32","3,13","2,47",0,"4,26","1,18"
São Francisco do Pará,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo do Araguaia,0,"14,29",0,"12,5","6,25","12,5",0,"4,35",0,"14,29",0,0
São João da Ponta,0,0,0,0,0,0,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,50,0,0,0,0,0,0,100
São João do Araguaia,0,25,0,"12,5","16,67",0,0,"5,56",0,"11,11",0,0
São Miguel do Guamá,0,25,0,0,"11,11",0,0,0,0,0,0,0
São Sebastião da Boa Vista,0,0,0,0,0,0,0,20,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,0,0,0,0,0
Senador José Porfírio,"2,86",0,20,0,0,0,0,0,0,"7,14","5,17",0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,"2,27","14,08","10,07",14,"5,98","7,69","7,69","1,11","1,05","7,14","1,27","1,69"
Terra Alta,0,0,0,0,0,0,0,0,0,0,0,0
Terra Santa,0,"12,5",0,0,0,"8,33","33,33","3,7",50,0,0,0
Tomé-Açu,0,"5,3","1,44","5,66","2,53","1,9",0,"1,3",0,0,0,0
Tracuateua,0,0,0,0,0,0,0,0,0,0,0,0
Trairão,"3,77","5,13","12,5","3,13",10,"10,71",4,0,"10,71","14,29","13,51","6,25"
Tucumã,"5,26",0,0,"3,7","16,13",0,8,"8,51",30,"3,13","9,68","3,85"
Tucuruí,"1,47","4,41","5,45","6,45","10,26","1,56","5,36","1,3","11,29","8,57",0,0
Ulianópolis,"0,99","1,64",0,0,0,0,0,0,"2,56",0,0,0
Uruará,"7,19","1,18","0,79","0,7","1,2","0,66","0,81","1,23","11,74","19,23","1,89","9,7"
Vigia,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,0,0,"4,76",0,0,0,"3,33",0,0,0,0,0
Vitória do Xingu,0,0,0,0,0,"4,76",0,"10,71","12,5","15,38","17,39",0
Xinguara,"19,05","7,69","12,5",0,"7,14",0,"9,09",0,0,0,0,0
