municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Piçarra,0,0,0,0,0,0,0,0,0,0,0,0
Placas,0,0,0,0,0,0,0,"1,69",0,0,0,0
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"1,45","1,02",0,0,"1,6","0,79",0,0,0,0,0,0
Porto de Moz,"5,56",0,0,0,0,0,0,0,0,0,"7,14",0
Prainha,0,0,0,0,0,"2,04",0,"3,9",0,0,"3,23",0
Primavera,0,0,0,0,0,0,0,0,0,0,0,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,0,0,0,0,0,0,0,0,"11,11",0,"26,09",0
Rio Maria,"7,14",0,"33,33",0,0,0,0,"12,5",10,0,0,0
Rondon do Pará,"0,8","1,82","3,13",0,0,0,"1,59",0,0,0,0,0
Rurópolis,0,0,0,0,0,0,0,"2,44",0,"4,55",0,"2,13"
Salinópolis,0,0,0,0,0,0,0,0,0,0,0,100
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Luzia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria das Barreiras,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Araguaia,0,0,0,0,0,"7,14","6,25",0,0,0,0,0
Santarém,0,0,0,"1,37","0,97","0,92",0,"0,97",2,0,0,0
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,0,0,0,0,0,0
São Domingos do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
São Domingos do Capim,0,0,0,0,0,0,0,0,0,0,0,0
São Félix do Xingu,"1,79",2,0,0,0,"3,33",0,0,"1,28","2,5",2,"1,14"
São Francisco do Pará,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo do Araguaia,0,0,0,0,0,0,10,0,"7,89","33,33",0,0
São João da Ponta,0,0,0,0,0,0,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,0,0,0,0,0,0,0,0
São João do Araguaia,0,0,0,"11,11",10,0,0,0,0,0,0,0
São Miguel do Guamá,0,0,0,0,0,0,0,0,0,0,0,50
São Sebastião da Boa Vista,0,0,0,0,0,0,0,0,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,0,0,0,0,0
Senador José Porfírio,0,0,0,0,0,0,0,0,0,0,0,0
