municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Novo Progresso,"1,45","6,06",100,0,"1,69","1,69",0,0,"5,88",4,"2,33",4
Novo Repartimento,"10,29","3,13",100,"15,38","5,97","21,15","1,49","5,83","12,57","5,17","3,85","13,64"
Óbidos,"25,97","20,99",100,"11,11",20,"17,89","23,91","20,41","13,51",20,"14,15",25
Oeiras do Pará,"22,22","15,38",100,0,0,"7,69",0,0,0,10,0,0
Oriximiná,"13,77","15,79",100,"17,39","13,89","20,66","8,33","22,76","16,9","7,32","18,18","16,67"
Ourém,0,0,0,0,0,50,0,0,0,0,0,0
Ourilândia do Norte,0,0,0,0,0,0,4,"5,71",0,0,0,0
Pacajá,"3,03","5,23",100,0,"6,74","2,27","5,56","4,76","3,31","2,08","6,9","3,45"
Palestina do Pará,0,0,0,0,0,0,0,"28,57",0,0,0,0
Paragominas,"1,7","2,72",100,"1,9","4,44","3,85","1,74","3,94","5,26",0,"1,37","2,73"
Parauapebas,0,0,100,"3,77","4,31","2,94","3,13","6,11","2,44",0,"0,93","1,11"
Pau d'Arco,0,0,0,0,0,0,25,0,0,0,0,0
Peixe-Boi,0,0,0,0,0,0,0,0,0,0,0,0
Piçarra,"42,86",0,0,0,25,0,0,0,"16,67",0,0,0
Placas,"2,38","7,41",100,"2,94","5,13","7,14","2,86","11,86","3,57","7,69","5,41","3,7"
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"2,9","5,1",100,"5,66","8,51","4,72",6,"2,41","7,2","1,69","3,05","1,94"
Porto de Moz,"11,11","12,5",100,0,"38,46",0,0,0,0,"9,09","7,14",0
Prainha,"10,81","10,17",0,"5,88","3,03","4,08","6,25","5,19","2,22","8,57",0,"1,39"
Primavera,0,0,0,0,0,0,0,0,0,0,0,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,0,0,0,0,0,0,0,0,0,0,"4,35",0
Rio Maria,"7,14",25,0,0,0,0,0,"12,5",0,0,0,0
Rondon do Pará,"0,8","3,64",0,"3,92","1,67","7,92","3,23","10,34",12,"10,53","6,52",0
Rurópolis,"4,55","6,25",100,"4,35","4,55","5,41","11,11",0,"16,22","4,55","3,51","4,26"
Salinópolis,0,0,0,0,0,0,0,0,0,0,0,0
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Luzia do Pará,0,0,100,0,"22,22","11,11","22,22",0,0,0,0,"5,88"
Santa Maria das Barreiras,0,"16,67",100,0,0,0,0,0,10,0,0,0
Santa Maria do Pará,0,"16,67",0,0,0,0,0,0,0,0,50,0
Santana do Araguaia,"3,92","6,06",0,"2,7",0,"14,29",0,0,0,0,"11,11",0
Santarém,"4,27","5,26",100,"9,59","4,85","0,92","5,66","4,85",2,"3,57",0,"3,64"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,0,0,0,0,0,0
São Domingos do Araguaia,0,"18,18",0,"3,33","6,9",0,"16,67","21,43",0,0,20,0
São Domingos do Capim,0,0,100,0,0,0,0,0,0,0,0,0
São Félix do Xingu,"3,57",6,100,"4,76","9,43","6,67","4,88","7,14","5,13","12,5",4,"5,68"
São Francisco do Pará,0,0,0,0,0,0,"33,33",0,0,0,0,0
São Geraldo do Araguaia,0,"12,5",100,0,0,"16,67",0,"4,55","5,26",0,0,0
São João da Ponta,0,0,0,0,0,0,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,0,0,0,0,0,0,0,0
São João do Araguaia,20,0,0,0,20,0,0,0,0,0,"9,09",0
São Miguel do Guamá,0,0,100,0,0,0,0,0,0,0,0,0
São Sebastião da Boa Vista,0,0,100,0,0,0,0,0,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,0,0,0,0,0
Senador José Porfírio,"12,12","4,35",0,0,0,0,0,0,0,"5,26","7,81","6,45"
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,"18,54","7,07",100,"8,16","6,03","6,59","5,06","7,56","8,42","3,85","4,76","3,57"
Terra Alta,0,0,0,0,0,0,0,0,100,0,0,0
Terra Santa,0,20,0,0,0,"16,67",0,"5,56",0,0,50,25
