municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nova Esperança do Piriá,"95,83",100,"94,74","90,91","96,67",100,100,100,100,"83,33",100,100
Nova Ipixuna,"85,71","85,71",100,"85,71",100,100,100,80,100,100,"66,67",100
Nova Timboteua,0,100,80,100,100,100,100,100,"83,33",0,100,100
Novo Progresso,"97,14","96,72","93,75","98,04","96,49","96,67","97,62","98,28","94,44","96,55","92,11",100
Novo Repartimento,"90,48","91,8",92,"86,21","92,13","98,75","96,77",100,"96,74","96,67",100,100
Óbidos,"97,06","93,62","97,37",100,100,"95,37","95,65","98,72",100,"95,83","98,94",100
Oeiras do Pará,100,"96,3",75,100,100,"92,31",100,"97,5",100,"81,25",100,100
Oriximiná,"89,93","98,97","96,97",100,"98,7",100,"98,8",100,"98,68","97,92","91,18",100
Ourém,0,80,0,100,100,100,100,100,100,0,100,100
Ourilândia do Norte,90,100,"94,44",100,"92,86",75,"93,33","97,22","94,12",90,80,"77,78"
Pacajá,"48,1","78,91","88,51","94,87","98,65","94,52",98,"92,21","97,03","83,72","89,8",100
Palestina do Pará,100,0,100,100,100,100,100,100,100,0,100,0
Paragominas,"91,79","92,21","94,51","96,4","95,61","98,13","96,52","89,19","94,81","75,86","90,48","95,29"
Parauapebas,100,"94,92","98,46","96,49",100,100,"97,96","98,52","98,14",100,"99,1","98,1"
Pau d'Arco,100,0,100,50,100,100,50,0,0,100,75,100
Peixe-Boi,0,0,0,0,0,0,100,0,100,0,0,100
Piçarra,100,100,100,50,100,100,100,100,100,100,0,100
Placas,"73,17","77,27","96,15","64,52","88,57","71,43","79,31","83,02","68,18",100,"90,32","98,08"
Ponta de Pedras,100,0,0,0,0,0,0,0,0,0,0,0
Portel,"88,41","73,33","75,49","53,85","70,62","92,68","64,44","75,95","96,61","98,25","78,87","54,46"
Porto de Moz,"94,74",92,"69,23",75,"69,23",100,"83,33",50,60,"69,23","66,67",50
Prainha,"98,25","97,56","97,44",100,"97,5",100,"88,89",100,100,"84,38","81,25","96,43"
Primavera,100,0,0,0,0,100,100,100,100,100,100,100
Quatipuru,0,0,0,0,0,0,0,0,100,0,0,0
Redenção,100,100,100,100,"92,31",100,100,"88,89","95,24",100,"97,37","94,12"
