municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mocajuba,"73,53","70,59",75,"66,67","61,54",100,75,100,"42,86",100,"83,33",100
Moju,"75,86","85,48","68,89","75,61",78,"82,22","70,97","69,23","73,81","92,31","95,24",75
Mojuí dos Campos,0,0,0,0,0,0,"83,33",95,"85,71","85,71","86,21","89,8"
Monte Alegre,"77,66",79,"80,81","90,48","82,72","79,17","86,67","81,25","83,1","97,3","76,7","89,77"
Muaná,"66,67",100,0,100,50,25,100,100,100,100,100,0
Nova Esperança do Piriá,"69,23","88,46","72,22",60,75,"63,16",75,"86,67","81,82","85,71","58,82","71,6"
Nova Ipixuna,60,80,100,80,"66,67","83,33","66,67",75,"33,33",75,100,"83,33"
Nova Timboteua,0,100,100,0,0,0,0,100,100,0,0,0
Novo Progresso,"91,3","90,91","83,87","94,44","84,75","89,83",85,"94,74","92,16",84,"88,37",80
Novo Repartimento,"73,53","79,69","71,79","90,38","64,18","63,46","85,07","68,93","67,54","84,48","75,64","75,76"
Óbidos,"76,62","58,02","61,25","72,22",62,"64,23","63,04","67,35","70,27","73,33","66,98","72,92"
Oeiras do Pará,"77,78","76,92",75,50,75,100,100,"93,33",95,90,100,"94,74"
Oriximiná,"68,12","76,84","72,58","69,57","72,22","77,69","83,33","71,54","80,28","80,49","71,59",75
Ourém,100,100,50,0,100,100,100,100,0,0,100,100
Ourilândia do Norte,"66,67","81,82",100,"71,43","84,62","81,82",88,80,"83,33",84,"80,56","77,27"
Pacajá,"83,84","86,63","72,92","85,71","91,01","82,95","94,44","80,95","81,82","87,5","81,03","86,21"
Palestina do Pará,0,0,100,100,100,100,100,"85,71",100,0,0,0
Paragominas,"88,07","82,99","87,36","89,52","90,37","84,62","86,09","88,98","90,79","96,88","83,56","84,55"
Parauapebas,"92,59","86,67","90,57","88,68","81,03","79,41","89,58","86,26","84,15","98,04","89,72","86,67"
Pau d'Arco,100,0,100,100,100,100,100,0,100,100,50,80
Peixe-Boi,0,0,0,0,0,0,100,0,100,0,0,0
Piçarra,"57,14",100,"83,33",100,75,100,"85,71",100,"66,67",100,0,0
Placas,"85,71","92,59","84,62","82,35","89,74","89,29","88,57","79,66","82,14","92,31","78,38","87,04"
Ponta de Pedras,100,0,0,0,0,0,0,0,0,0,0,0
Portel,"86,96","91,84","93,2","96,23","89,89","88,98",88,"95,18",88,"93,22","88,83","95,15"
Porto de Moz,"88,89","87,5","92,31","87,5","92,31",100,100,"83,33","91,67","81,82","92,86",100
Prainha,"86,49","81,36",90,"88,24","84,85","93,88","91,67","90,91","88,89","74,29","93,55","90,28"
Primavera,0,0,0,0,0,100,"66,67",100,0,100,100,100
Quatipuru,0,0,0,0,0,100,0,0,0,0,0,0
Redenção,"81,82",100,90,"66,67",90,"77,78","88,89",100,"77,78",50,"69,57","71,43"
Rio Maria,"85,71",100,100,100,100,100,100,"87,5",80,"66,67","66,67",100
Rondon do Pará,84,"74,55","78,13","92,16","85,25","87,25","84,13","80,46",72,"73,68","80,43","90,32"
Rurópolis,"84,09","84,38","72,73","82,61","79,55","75,68","69,44","80,49","72,97","86,36","85,96","85,11"
Salinópolis,100,100,100,0,0,100,100,80,0,100,60,100
Salvaterra,"33,33",100,0,0,0,0,0,"66,67",0,0,0,"33,33"
Santa Bárbara do Pará,100,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,100,50,0,0,0,0,100,100,100,0,0
Santa Luzia do Pará,100,"37,5","66,67",100,"66,67","77,78","66,67",75,75,100,"88,89","82,35"
Santa Maria das Barreiras,"90,91",50,"86,67",100,60,"66,67","78,57",100,100,100,"87,5",100
Santa Maria do Pará,100,"66,67",100,"85,71","33,33",0,0,50,0,0,100,0
Santana do Araguaia,"82,35","78,79","95,65","86,49","76,19","78,57","93,75",80,"92,31",100,"88,89",100
Santarém,"88,89","85,71","85,37","83,56","85,44","86,24","71,7","82,52",90,"85,71","85,71","94,55"
Santarém Novo,100,0,0,50,100,100,0,0,0,0,0,"66,67"
Santo Antônio do Tauá,100,0,0,0,100,100,"14,29","33,33",0,0,0,0
São Caetano de Odivelas,0,0,50,0,0,0,"33,33",0,100,0,100,0
São Domingos do Araguaia,75,"72,73",75,"83,33","65,52",50,"66,67","71,43","66,67",0,80,100
São Domingos do Capim,50,0,75,"88,89",70,"83,33","83,33","85,71",100,0,"71,43","87,5"
São Félix do Xingu,"92,86",72,"91,43","85,71","67,92","86,67","78,05","78,57","80,77","77,5",64,"80,68"
São Francisco do Pará,100,50,0,100,100,100,"66,67",0,0,100,"85,71",100
São Geraldo do Araguaia,"57,14",75,"46,15","71,43",60,"66,67",70,"77,27","73,68","66,67","66,67",80
São João da Ponta,0,100,0,100,100,100,100,100,0,0,0,50
São João de Pirabas,0,50,100,0,100,0,"83,33",100,0,0,100,0
São João do Araguaia,80,100,50,"77,78",60,"81,82","90,91","53,85","92,31",100,"54,55",0
São Miguel do Guamá,100,100,"33,33","66,67","66,67",75,100,50,100,0,0,100
São Sebastião da Boa Vista,100,0,100,100,100,100,0,100,100,0,0,0
Sapucaia,0,0,100,0,0,0,0,100,0,0,0,0
Senador José Porfírio,"69,7","86,96","90,91",100,"95,45","86,67","72,73","95,24",88,"84,21","73,44","70,97"
Soure,0,0,100,0,0,0,0,0,0,0,0,0
Tailândia,"73,51","85,86","84,44","83,67","80,17","81,44","73,42","76,74","85,26","80,77","82,54","80,36"
Terra Alta,0,100,100,0,100,0,50,100,100,75,0,100
Terra Santa,"86,67",60,80,100,50,"83,33",0,100,100,100,100,75
Tomé-Açu,"66,67","75,78","71,22","94,34","65,54","60,3","88,64","57,64","74,07","65,79","74,47","90,16"
Tracuateua,50,100,100,"66,67",100,50,"33,33","85,71",100,100,60,"56,25"
Trairão,"88,24","86,49","81,82","90,32","92,86","86,36",92,"80,95","78,26",60,"83,87","93,1"
Tucumã,"87,5","72,22","91,67","91,67","78,95","84,62","68,75","74,29",75,"73,08","85,71","77,27"
Tucuruí,"83,33",70,"87,5","96,3","81,25",90,"81,25","91,67",75,"73,68",75,"93,75"
Ulianópolis,"88,17","81,82","87,88","81,18","81,54","80,65","88,52","78,81","82,76","86,67",100,"84,93"
Uruará,"76,12","71,93","70,83","74,13","74,85","80,95","80,7","81,33","63,3",80,"66,97","74,17"
Vigia,0,0,100,100,0,0,25,0,0,50,100,100
Viseu,"84,62","72,22","70,83","81,82","53,66","66,67","73,33","89,66",80,100,"70,83","71,43"
Vitória do Xingu,"85,71",100,80,75,"91,67","90,91","91,3","88,89","90,48",80,"84,21","86,36"
Xinguara,"77,78",50,"73,33","93,33","66,67","87,5",90,90,"56,25","66,67",80,"87,5"
