municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Melgaço,"33,33",20,"33,33",0,100,0,100,100,100,0,100,0
Mocajuba,100,"47,37",50,"66,67","76,92",100,50,80,"66,67",100,"87,5",0
Moju,"76,47","52,78","79,55","47,62","63,83","71,79","70,83","42,7","86,11",40,"64,71",80
Mojuí dos Campos,0,0,0,0,0,0,"42,86","89,29","12,2",0,"3,23","54,17"
Monte Alegre,"70,21","82,35","84,38","92,86","94,05","87,65","97,75","97,24","90,67","89,74","98,08","71,11"
Muaná,75,"66,67",100,100,50,75,0,75,100,100,100,0
Nova Esperança do Piriá,"91,67","87,1","89,47","45,45","56,67",95,50,"27,27","41,67","33,33",100,100
Nova Ipixuna,"71,43","85,71",80,100,100,50,0,0,100,0,100,0
Nova Timboteua,0,0,20,0,0,0,0,25,"83,33",0,0,0
Novo Progresso,"85,71","40,98","93,75","84,31","85,96","71,67","76,19","48,28","46,3","72,41","73,68","91,67"
Novo Repartimento,"42,86","3,28",91,"32,76","83,15","39,38","72,58",60,"65,76",0,"13,33","75,38"
Óbidos,"19,12","58,51","77,63","82,35","22,22","54,63","73,91","75,64","37,5","16,67","56,38","55,81"
Oeiras do Pará,100,"77,78",65,100,"66,67",100,100,95,"77,78","93,75","85,71",85
Oriximiná,"35,57","4,12","71,21","92,86","79,22","89,78","89,16","82,27","90,79","83,33","75,49","92,11"
Ourém,0,60,100,50,100,100,50,50,100,0,100,100
Ourilândia do Norte,50,40,"22,22",0,0,50,0,"5,56","58,82",70,"42,5","77,78"
Pacajá,"96,2","89,06","75,86","94,87","98,65","91,78",96,"85,71","92,08","90,7","89,8",80
Palestina do Pará,0,0,0,60,0,100,100,"22,22",0,0,0,0
Paragominas,"71,79","39,61","56,04","46,85","95,61","65,42","52,17","63,96","81,82","13,79","87,3","94,12"
Parauapebas,"73,33","62,71","63,08","73,68","82,4","44,29","55,1","60,74","40,37","31,48","42,34","28,57"
Pau d'Arco,75,0,0,100,100,100,75,0,0,100,100,20
Peixe-Boi,0,0,0,0,0,0,0,0,0,0,0,100
Piçarra,"11,11","33,33",0,75,100,100,"85,71",50,100,100,0,0
Placas,"31,71","95,45","61,54","77,42","82,86","71,43","72,41","88,68","95,45",80,"87,1","94,23"
Ponta de Pedras,100,0,0,0,0,0,0,0,0,0,0,0
Portel,"94,2","36,67","89,22",100,"82,49","91,87","88,89","91,14","93,22","94,74","92,27","98,02"
Porto de Moz,"84,21",24,"69,23",100,"46,15",100,"83,33","83,33",80,"46,15","83,33",50
Prainha,"87,72","75,61","92,31","81,48","67,5","57,69",100,"97,67","93,1","68,75","87,5","85,71"
Primavera,0,0,0,0,0,50,0,"37,5","66,67",100,100,100
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,"97,56","86,67",100,80,"92,31","92,31",90,"44,44",100,90,"97,37","88,24"
Rio Maria,"76,47",0,"66,67","85,71",20,"77,78",0,0,"33,33",100,100,100
Rondon do Pará,"42,11","34,48","58,06",70,"56,14","75,27","52,73","51,95","91,11","66,67","77,78",50
Rurópolis,"86,96","83,87","68,75",100,"95,35","84,62","94,59","88,1","86,49",75,80,"88,64"
Salinópolis,75,100,100,0,0,100,75,"83,33",100,75,100,75
Salvaterra,"66,67",0,0,0,0,0,0,"66,67",0,0,50,"33,33"
Santa Bárbara do Pará,0,0,0,0,0,0,100,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,100,80,75,0,100,0,0,50,"66,67",100,0,100
Santa Luzia do Pará,"66,67","11,11",25,50,"11,11","53,85","81,82",40,100,100,"88,89",100
Santa Maria das Barreiras,45,100,"33,33",0,80,75,0,0,100,"33,33",0,100
Santa Maria do Pará,0,"33,33",25,"7,69",0,100,50,0,0,0,"33,33",50
Santana do Araguaia,"70,37","65,63","21,95","66,67",80,"93,33","81,25",100,100,75,"66,67",80
Santarém,"48,81","80,11","84,56","98,91",100,"99,32",100,"99,34",100,95,"39,77","48,51"
Santarém Novo,100,0,0,0,100,50,0,0,0,0,0,"66,67"
Santo Antônio do Tauá,0,0,50,0,"66,67",100,100,80,0,0,0,0
São Caetano de Odivelas,100,0,"66,67",0,0,100,100,0,50,0,0,0
São Domingos do Araguaia,50,"26,92","68,75","45,71","93,1",0,"16,67","65,22",100,100,"78,57",0
São Domingos do Capim,50,0,100,80,100,90,60,100,"66,67",0,100,100
São Félix do Xingu,"2,33",60,"27,03","22,22","10,2","11,43","15,79","24,19","89,87","91,18","91,11","95,24"
São Francisco do Pará,0,0,50,100,70,100,80,0,0,100,"11,11",60
São Geraldo do Araguaia,"70,59","58,33",100,100,100,"71,43","56,25","90,91","95,24",100,"66,67","71,43"
São João da Ponta,0,100,100,100,100,100,0,100,0,0,0,100
São João de Pirabas,0,50,100,0,0,0,"66,67",0,100,0,50,0
São João do Araguaia,"42,86",100,50,"85,71",100,"90,91",100,100,"94,12","87,5","41,18",0
São Miguel do Guamá,100,0,0,"77,78",50,100,50,50,50,0,0,100
São Sebastião da Boa Vista,"66,67",0,"66,67",50,50,100,100,25,50,0,0,0
