municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Santa Maria do Pará,"4,52","26,09","4,31","30,39","12,93","4,28",0,"8,41",0,0,"8,27",0
Santana do Araguaia,"103,97","62,43","83,59","65,92","36,17","23,36","25,38","23,05","19,39","5,8","12,72","15,45"
Santarém,"42,66","48,26","44,46","24,76","34,68","38,33","18,37","35,45","17,09","9,51","14,17","18,17"
Santarém Novo,"33,29",0,0,"32,55","16,14","32,01",0,0,0,0,0,"45,02"
Santo Antônio do Tauá,"4,03",0,"3,72",0,"7,35","7,22","24,5","10,31","3,38",0,0,0
São Caetano de Odivelas,0,0,"23,72",0,0,0,"17,38",0,"11,48",0,"5,69",0
São Domingos do Araguaia,"37,93","100,51","72,52","129,65","124,09","16,95","24,99","57,77","12,27",0,"40,23","7,89"
São Domingos do Capim,"7,38",0,"14,33","30,17","33,3","39,72","19,64","22,8","12,97",0,"22,49","25,13"
São Félix do Xingu,"94,53","77,85","52,08",23,"55,38","30,03","38,34","62,71","67,13","33,17","40,06","70,53"
São Francisco do Pará,"16,79","16,69","17,03","26,32","59,51","13,17","19,61",0,0,"19,46","45,3","44,21"
São Geraldo do Araguaia,"56,29","31,63","51,94","27,36","58,99","23,74","39,91","88,61","154,43","24,6","12,4","20,01"
São João da Ponta,0,"20,21","19,85","18,99","18,66","18,35","17,83","17,53",0,0,0,"33,01"
São João de Pirabas,0,"10,16","5,03",0,"4,79",0,"27,86","9,19",0,0,"13,38",0
São João do Araguaia,"42,83","8,36","33,55","68,45","75,61","82,75","81,97","96,51","96,15","58,96","80,79",0
São Miguel do Guamá,"2,33","6,74","6,69","5,82","5,73","7,53","1,84","3,62","1,79",0,0,"3,43"
São Sebastião da Boa Vista,"19,51",0,"4,57","8,74","8,58","4,22",0,"12,11","3,97",0,0,0
Sapucaia,0,0,"35,66",0,0,0,0,"18,21",0,0,0,"17,1"
Senador José Porfírio,"230,74","157,9","76,21","115,4","171,34","118,66","89,21","173,91","211,38","163,98","563,53","261,85"
Soure,0,0,"4,45",0,0,0,0,0,0,0,0,0
Tailândia,"234,91","142,28","185,64","61,79","140,72","195,39","87,24","183,16","97,78","25,92","60,98","54,02"
Terra Alta,0,"19,28","9,45",0,"9,6",0,"18,48","9,11","8,99","35,52",0,"25,88"
Terra Santa,"97,94","31,48","31,24","5,9","11,68","34,67",0,"101,22","11,14","5,52","10,95","21,48"
Tomé-Açu,"324,97","263,8","285,97","93,78","258,61","343,61","74,43","240,82","133,98","62,2","76,16","97,05"
Tracuateua,"7,65","3,65","3,59","10,92","7,19","7,1","10,43","24,03","3,39","6,71","33,21","104,38"
Trairão,"316,83","219,45","64,2","183,59","163,81","127,15","141,48","117,45","127,18","54,7","167,85","154,2"
Tucumã,"30,17","65,48","43,34","71,32","55,34","37,19","44,42","95,44","42,89","68,57","72,71","56,33"
Tucuruí,"26,89","21,27","33,33","27,8","16,17","19,87","15,44","22,76","18,66","17,45","10,86","14,27"
Ulianópolis,"291,71","127,59","183,23","196,1","143,84","131,97","122,07","227,12","53,82","26,91","43,46","126,67"
Uruará,"223,78","490,32","200,4","319,77","364,18","328,66","254,86","336,27","422,6","101,42","246,28","263,64"
Vigia,0,0,"6,49","2,09",0,0,"7,99",0,0,"3,87","1,92","3,76"
Viseu,"24,43","32,64","43,23","19,41","71,74","78,17","51,44","49,41","8,47","15,15","40,18","149,06"
Vitória do Xingu,"72,22","40,78","51,74","59,35","176,38","159,69","163,45","189,58","145,76","68,65","129,08","146,79"
Xinguara,"46,81","29,95","37,01","36,97","29,28","19,33","23,76","23,55","37,35","27,79","34,46","18,01"
