id,Município,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
110000,Município ignorado - RO,"8,88","5,71","11,35","5,58","22,13","8,24","16,27","8,08","2,68","13,32","2,65","25,91"
120001,Acrelândia,"1,83","35,31","26,31","5,17","37,61","66,21","55,33","86,67","26,52","16,48","31,15","48,11"
120005,Assis Brasil,0,"9,87","9,64","49,68","19,57","9,62","18,7",0,"9,05",0,"35,12","8,65"
120010,Brasiléia,"113,74","91,47","108,12","83,69","114,41","221,06","111,7","144,84","61,48","9,93","30,53","43,23"
120013,Bujari,"13,45","3,27","9,82","19,12","28,64","22,23","41,1","18,96","34,75","3,16","31,57","18,46"
120017,Capixaba,"70,22","64,07","47,71","64,72","89,04","102,14","110,81","85,36","106,66","107,63","142,1","111,77"
120020,Cruzeiro do Sul,"11,9","30,71","45,74","35,12","74,01","44,7","40,61","75,37","137,13","30,88","42,44","54,53"
120025,Epitaciolândia,"45,86","20,05","31,34","42,74","98,43","36,16","24,1","40,98","9,64","19,28","359,85","370,83"
120030,Feijó,"34,94","16,51","28,62","17,52","15,33","13,21","45,98","41,66","37,5","22,89","38,24","44,48"
120032,Jordão,"103,63","54,05","25,33","23,34","20,7","44,46","19,42","43,6","38,9","21,75","33,73","82,59"
120033,Mâncio Lima,"4,29","20,42","8,01",0,0,"3,87","3,77","14,84","3,65","3,6",0,0
120034,Manoel Urbano,"10,86","6,95","3,44","3,59",0,"7,07","10,48","6,94","6,91",0,"6,84",0
120035,Marechal Thaumaturgo,"13,07","25,37","101,33",0,0,0,"24,27","12,11",0,"12,05","12,03","11,73"
120038,Plácido de Castro,"43,77","39,51","31,03","31,27","42,31","34,9","32,16","46,29","75,17","17,98","22,83","13,09"
120080,Porto Acre,0,0,"3,4",0,"3,52",0,"3,49","3,49",0,0,0,"6,8"
120039,Porto Walter,0,"7,21","24,99","7,52","11,21",0,"14,73","18,34",0,0,0,0
120040,Rio Branco,"2,14",0,"0,99","0,92","0,9",0,0,0,"0,81",0,0,0
120042,Rodrigues Alves,"1096,18","843,02","776,96","342,54","485,87","843,16","334,63","475,48","545,39","217,71","748,55","265,91"
120043,Santa Rosa do Purus,"22,42","16,68","39,64","4,03","3,98","3,94","3,87","3,83","3,79",0,"3,72","21,89"
120050,Sena Madureira,"146,19","69,88","32,4","11,22","47,78","14,46","14,06","13,83","23,81","6,7","19,82","13,01"
120045,Senador Guiomard,"181,76","92,27","65,6","58,64","70,1","123,97","41,46","153,75","54,27","16,53","52,62","19,76"
120060,Tarauacá,0,0,0,0,0,0,"78,78","130,37","181,28","90,04","185,35","306,59"
