Titulo1= População Residente - Estimativas para o TCU - Pará
Titulo2=População estimada por Ano segundo Município
Rodape=Período:2007-2019
Nomemapa=c:\tabwin\pa_municip.map
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"150380 Jacundá";51511;54513;55900;51375;52191;52993;54376;55204;56006;56781;57526;58457;59155
"150390 Juruti";33775;35155;35530;47123;48306;49486;51483;52755;53989;55179;56325;56908;57943
"150400 Limoeiro do Ajuru";23284;24483;24967;25028;25440;25846;26542;26961;27368;27760;28138;28583;28935
"150405 Mãe do Rio";27614;28762;29087;27892;28100;28290;28636;28800;28959;29112;29260;29917;30077
"150410 Magalhães Barata";7650;7883;7895;8115;8148;8179;8240;8260;8279;8298;8316;8523;8548
"150420 Marabá";196468;199946;203049;233462;238708;243583;251885;257062;262085;266932;271594;275086;279349
"150430 Maracanã";28296;29269;29417;28376;28438;28498;28631;28643;28656;28668;28679;29429;29473
"150440 Marapanim";26651;27727;28011;26605;26750;26890;27153;27262;27368;27471;27569;28220;28336
"150442 Marituba";93416;98746;101158;108251;110842;113353;117614;120305;122916;125435;127858;129321;131521
"150445 Medicilândia";22624;23487;23682;27442;27785;28227;28987;29444;29887;30315;30726;31213;31597
"150450 Melgaço";17845;17989;17657;24789;25096;25374;25860;26133;26397;26652;26897;27415;27654
"150460 Mocajuba";23258;24328;24695;26745;27207;27666;28454;28933;29398;29846;30277;30736;31136
"150470 Moju";63821;67195;68600;69921;71329;72597;74768;76096;77385;78629;79825;80988;82094
"150475 Mojuí dos Campos";0;0;0;0;0;15018;15232;15341;15446;15548;15646;15982;16084
"150480 Monte Alegre";61350;63543;63941;55459;55636;55804;56147;56231;56312;56391;56466;57900;58032
"150490 Muaná";28796;30117;30568;34237;34875;35524;36632;37314;37977;38616;39231;39783;40349
"150495 Nova Esperança do Piriá";22447;23599;24062;20159;20256;20350;20528;20596;20663;20727;20789;21291;21368
"150497 Nova Ipixuna";14086;14808;15097;14645;14859;15065;15422;15632;15836;16032;16221;16499;16678
"150500 Nova Timboteua";12103;12568;12677;13660;13844;14012;14305;14472;14635;14791;14942;15218;15363
"150503 Novo Progresso";21598;21843;21504;25106;25138;25151;25203;25169;25135;25102;25071;25758;25762
"150506 Novo Repartimento";51645;54506;55762;62124;63604;65106;67652;69267;70835;72347;73802;74602;75919
"150510 Óbidos";46793;48287;48429;49254;49552;49763;50171;50317;50459;50596;50727;51964;52137
"150520 Oeiras do Pará";25420;26487;26796;28595;29005;29402;30088;30490;30880;31257;31619;32168;32512
"150530 Oriximiná";55175;57765;58683;62963;63905;64978;66821;67939;69024;70071;71078;72160;73096
"150540 Ourém";15152;15719;15841;16296;16458;16601;16854;16986;17114;17237;17356;17721;17842
"150543 Ourilândia do Norte";20415;21171;21327;27564;27965;28551;29547;30171;30776;31359;31921;32319;32832
"150548 Pacajá";38365;40768;41953;40052;40831;41654;43057;43930;44778;45596;46383;46986;47706
"150549 Palestina do Pará";7156;7329;7301;7487;7470;7465;7465;7444;7424;7404;7386;7596;7589
"150550 Paragominas";90819;95479;97350;97788;99460;101046;103775;105417;107010;108547;110026;111764;113145
"150553 Parauapebas";133298;145326;152777;153942;160229;166342;176582;183352;189921;196259;202356;202882;208273
"150555 Pau D'Arco";6466;6583;6522;6029;5950;5869;5743;5637;5535;5436;5341;5557;5483
"150560 Peixe-Boi";7679;7908;7916;7868;7862;7869;7889;7881;7874;7867;7860;8073;8077
"150563 Piçarra";12707;13106;13140;12703;12699;12701;12720;12697;12675;12653;12632;12983;12981
"150565 Placas";17898;19030;19592;23930;24744;25526;26842;27700;28533;29336;30109;30293;30982
"150570 Ponta de Pedras";24276;25743;26445;25989;26560;27103;28025;28601;29160;29700;30219;30608;31082
"150580 Portel";45586;47967;48945;52166;53257;54306;56094;57205;58282;59322;60322;61126;62043
"150590 Porto de Moz";26489;27689;28091;33951;34756;35529;36841;37669;38471;39246;39991;40458;41135
"150600 Prainha";26436;26866;26570;29265;29337;29325;29342;29270;29200;29132;29067;29886;29866
"150610 Primavera";10463;10883;10993;10268;10311;10352;10432;10458;10485;10510;10534;10792;10825
"150611 Quatipuru";12620;13232;13459;12411;12527;12639;12838;12943;13044;13142;13237;13512;13608
"150613 Redenção";64583;66762;67064;75505;76501;77415;79010;79917;80797;81647;82464;83997;84787
"150616 Rio Maria";16993;17457;17437;17722;17713;17728;17774;17755;17738;17721;17705;18186;18193
"150618 Rondon do Pará";45016;47074;47772;46974;47509;48036;48959;49476;49977;50460;50925;51903;52357
"150619 Rurópolis";32950;35033;36068;40068;41272;42417;44349;45595;46804;47971;49093;49503;50510
"150620 Salinópolis";37066;38681;39184;37430;37726;38021;38552;38819;39078;39328;39569;40424;40675
"150630 Salvaterra";17077;17858;18124;20184;20572;20948;21592;21987;22370;22740;23096;23424;23752
"150635 Santa Bárbara do Pará";13714;14439;14740;17154;17584;18012;18736;19197;19645;20077;20492;20704;21079
"150640 Santa Cruz do Arari";5921;6190;6280;8163;8378;8593;8957;9191;9417;9635;9845;9939;10128
"150650 Santa Izabel do Pará";51763;54464;55570;59476;60713;61919;63973;65251;66490;67686;68836;69746;70801
"150655 Santa Luzia do Pará";18123;18523;18417;19422;19426;19428;19455;19418;19383;19348;19316;19852;19848
"150658 Santa Maria das Barreiras";16012;17156;17778;17198;17686;18150;18934;19437;19925;20396;20849;21042;21449
"150660 Santa Maria do Pará";22147;23001;23202;23033;23194;23355;23649;23790;23927;24059;24186;24725;24861
"150670 Santana do Araguaia";49053;52856;55033;56132;58067;59919;63031;65062;67033;68934;70764;71187;72817
"150680 Santarém";274285;275571;276665;294774;297040;284401;288462;290521;292520;294447;296302;302667;304589
"150690 Santarém Novo";6007;6267;6347;6145;6196;6248;6341;6390;6437;6482;6526;6664;6709
"150700 Santo Antônio do Tauá";24814;26222;26855;26673;27199;27707;28575;29110;29629;30129;30611;31038;31482
"150710 São Caetano de Odivelas";16179;16757;16862;16891;16991;17087;17266;17344;17420;17492;17563;17970;18050
"150715 São Domingos do Araguaia";21094;21889;22063;23140;23370;23602;24012;24235;24451;24659;24859;25358;25557
"150720 São Domingos do Capim";27094;27897;27923;29827;30034;30215;30550;30701;30847;30987;31123;31837;31989
"150730 São Félix do Xingu";59238;64223;67208;91293;95694;99905;106940;111633;116186;120580;124806;124763;128481
"150740 São Francisco do Pará";11913;11986;11743;15196;15123;15184;15301;15341;15380;15418;15454;15833;15882
"150745 São Geraldo do Araguaia";24872;25291;25027;25584;25429;25277;25056;24828;24607;24394;24188;24991;24847
"150746 São João da Ponta";4715;4949;5038;5265;5360;5451;5608;5703;5795;5884;5970;6059;6139
"150747 São João de Pirabas";18919;19691;19900;20644;20890;21125;21536;21767;21991;22207;22415;22842;23045
"150750 São João do Araguaia";11673;11963;11923;13149;13225;13293;13419;13470;13521;13569;13616;13940;13996
"150760 São Miguel do Guamá";42987;44532;44818;51527;52350;53108;54417;55191;55942;56667;57364;58328;58986
"150770 São Sebastião da Boa Vista";20500;21499;21874;22890;23307;23696;24363;24768;25161;25540;25904;26301;26640
"150775 Sapucaia";5117;5444;5609;5047;5144;5236;5395;5492;5587;5678;5766;5849;5930
"150780 Senador José Porfírio";14302;14566;14434;12998;12840;12641;12331;12075;11827;11587;11357;11839;11658
"150790 Soure";21395;22244;22459;22995;23235;23461;23861;24076;24286;24488;24682;25181;25374
"150795 Tailândia";64281;69581;72720;79299;82434;85468;90552;93906;97161;100300;103321;103664;106339
"150796 Terra Alta";9861;10372;10580;10254;10416;10565;10822;10973;11120;11262;11399;11591;11720
"150797 Terra Santa";15316;15885;16004;16952;17130;17305;17614;17783;17946;18105;18257;18619;18769
"150800 Tomé-Açu";47081;48522;48607;56514;57228;57914;59112;59795;60456;61095;61709;62854;63447
"150803 Tracuateua";26129;27374;27825;27466;27817;28167;28775;29125;29465;29793;30108;30656;30959
"150805 Trairão";16097;16860;17134;16885;17093;17303;17670;17880;18084;18280;18469;18807;18989
"150808 Tucumã";26513;27491;27691;33651;34334;34956;36021;36674;37308;37920;38508;39059;39602
"150810 Tucuruí";89264;94015;96010;97109;98919;100651;103619;105431;107189;108885;110516;112148;113659
"150812 Ulianópolis";31881;34485;36020;43345;45190;46979;49972;51956;53881;55739;57525;57632;59210
"150815 Uruará";59881;34875;59881;44720;44758;44727;44731;44607;44486;44370;44258;45517;45476
"150820 Vigia";43847;45680;46205;47902;48482;49054;50055;50622;51173;51705;52216;53191;53686
"150830 Viseu";53217;55144;55512;56681;57148;57566;58323;58694;59054;59401;59735;61049;61403
"150835 Vitória do Xingu";9693;9809;9664;13480;13607;13777;14072;14242;14407;14566;14719;14987;15134
"150840 Xinguara";38457;40067;40529;40573;40984;41382;42085;42465;42833;43188;43530;44410;44751
"Total";7090378;7321493;7457119;7588078;7688593;7822205;7999729;8104880;8206923;8305359;8366628;8513497;8602865
